number;quantity;;;;;;;;;;;;;
54;16;;;;;;;;;;;;;
55;23;;;;;;;;;;;;;
56;18;;;;;;;;;;;;;
57;12;;;;;;;;;;;;;
58;14;;;;;;;;;;;;;
59;11;;;;;;;;;;;;;
60;10;;;;;;;;;;;;;
61;7;;;;;;;;;;;;;
62;7;;;;;;;;;;;;;
63;10;;;;;;;;;;;;;
64;4;;;;;;;;;;;;;
65;7;;;;;;;;;;;;;
66;5;;;;;;;;;;;;;
67;6;;;;;;;;;;;;;
68;2;;;;;;;;;;;;;
70;2;;;;;;;;;;;;;
71;1;;;;;;;;;;;;;
72;3;;;;;;;;;;;;;
73;2;;;;;;;;;;;;;
74;1;;;;;;;;;;;;;
75;1;;;;;;;;;;;;;
76;1;;;;;;;;;;;;;
77;1;;;;;;;;;;;;;
78;1;;;;;;;;;;;;;
84;1;;;;;;;;;;;;;
87;1;;;;;;;;;;;;;
88;1;;;;;;;;;;;;;
91;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-102;1;;;;;;;;;;;;;
-93;4;;;;;;;;;;;;;
-91;2;;;;;;;;;;;;;
-89;1;;;;;;;;;;;;;
-88;1;;;;;;;;;;;;;
-87;2;;;;;;;;;;;;;
-86;1;;;;;;;;;;;;;
-85;1;;;;;;;;;;;;;
-84;3;;;;;;;;;;;;;
-83;2;;;;;;;;;;;;;
-80;1;;;;;;;;;;;;;
-79;2;;;;;;;;;;;;;
-78;2;;;;;;;;;;;;;
-77;1;;;;;;;;;;;;;
-76;2;;;;;;;;;;;;;
-75;4;;;;;;;;;;;;;
-74;4;;;;;;;;;;;;;
-73;4;;;;;;;;;;;;;
-72;3;;;;;;;;;;;;;
-71;2;;;;;;;;;;;;;
-70;3;;;;;;;;;;;;;
-69;6;;;;;;;;;;;;;
-68;4;;;;;;;;;;;;;
-67;3;;;;;;;;;;;;;
-66;5;;;;;;;;;;;;;
-65;4;;;;;;;;;;;;;
-64;8;;;;;;;;;;;;;
-63;6;;;;;;;;;;;;;
-62;4;;;;;;;;;;;;;
-61;10;;;;;;;;;;;;;
-60;10;;;;;;;;;;;;;
-59;8;;;;;;;;;;;;;
-58;15;;;;;;;;;;;;;
-57;7;;;;;;;;;;;;;
-56;15;;;;;;;;;;;;;
-55;11;;;;;;;;;;;;;
-54;17;;;;;;;;;;;;;
-53;12;;;;;;;;;;;;;
-52;13;;;;;;;;;;;;;
-51;14;;;;;;;;;;;;;
-50;14;;;;;;;;;;;;;
-49;14;;;;;;;;;;;;;
-48;22;;;;;;;;;;;;;
-47;16;;;;;;;;;;;;;
-46;12;;;;;;;;;;;;;
-45;19;;;;;;;;;;;;;
-44;22;;;;;;;;;;;;;
-43;23;;;;;;;;;;;;;
-42;32;;;;;;;;;;;;;
-41;25;;;;;;;;;;;;;
-40;26;;;;;;;;;;;;;
-39;36;;;;;;;;;;;;;
-38;31;;;;;;;;;;;;;
-37;34;;;;;;;;;;;;;
-36;40;;;;;;;;;;;;;
-35;47;;;;;;;;;;;;;
